milestone_id,project_id,milestone_name,planned_date,actual_date,variance_days,status
M0001,P001,Project Kickoff & Charter Sign-off,"Sunday, May 24, 2026","Sunday, May 24, 2026",0,Completed
M0002,P001,Requirements Gathering Complete,"Friday, June 12, 2026","Sunday, June 14, 2026",-2,Completed
M0003,P001,Solution Design Sign-off,"Wednesday, July 1, 2026","Wednesday, July 1, 2026",0,Completed
M0004,P001,Environment Setup & Configuration,"Monday, July 20, 2026","Friday, July 24, 2026",-4,Delayed
M0005,P001,Development / Build Complete,"Saturday, August 8, 2026",,,Pending
M0006,P001,System Integration Testing (SIT),"Thursday, August 27, 2026",,,Pending
M0007,P002,Project Kickoff & Charter Sign-off,"Friday, August 22, 2025",,,At Risk
M0008,P002,Requirements Gathering Complete,"Sunday, September 7, 2025","Tuesday, September 9, 2025",-2,Completed
M0009,P002,Solution Design Sign-off,"Monday, September 22, 2025","Sunday, September 28, 2025",-6,Delayed
M0010,P002,Environment Setup & Configuration,"Wednesday, October 8, 2025","Sunday, October 19, 2025",-11,Delayed
M0011,P002,Development / Build Complete,"Thursday, October 23, 2025","Sunday, November 2, 2025",-10,Delayed
M0012,P002,System Integration Testing (SIT),"Saturday, November 8, 2025","Monday, November 10, 2025",-2,Completed
M0013,P002,User Acceptance Testing (UAT),"Sunday, November 23, 2025","Sunday, November 23, 2025",0,Completed
M0014,P002,Data Migration Dry Run,"Tuesday, December 9, 2025","Wednesday, December 10, 2025",-1,Completed
M0015,P002,Go-Live Readiness Review,"Thursday, December 25, 2025","Sunday, December 28, 2025",-3,Completed
M0016,P003,Project Kickoff & Charter Sign-off,"Sunday, February 1, 2026",,,At Risk
M0017,P003,Requirements Gathering Complete,"Friday, March 6, 2026","Monday, March 23, 2026",-17,Delayed
M0018,P003,Solution Design Sign-off,"Wednesday, April 8, 2026","Monday, April 27, 2026",-19,Delayed
M0019,P003,Environment Setup & Configuration,"Monday, May 11, 2026","Tuesday, June 2, 2026",-22,Delayed
M0020,P003,Development / Build Complete,"Saturday, June 13, 2026","Thursday, June 18, 2026",-5,Delayed
