project_id,week_ending,RAG_status,schedule_variance_days,planned_spend_to_date,actual_spend_to_date,budget_variance_pct
P001,18/05/2026,Green,-1,165200,153500,-7.08%
P001,25/05/2026,Green,4,576000,626500,8.77%
P001,01/06/2026,Green,6,225500,228100,1.15%
P001,08/06/2026,Green,4,176000,188100,6.88%
P001,15/06/2026,Green,3,308000,296900,-3.60%
P001,22/06/2026,Green,5,384000,363400,-5.36%
P001,29/06/2026,Green,5,308000,299300,-2.82%
P001,06/07/2026,Green,4,384000,370700,-3.46%
P001,13/07/2026,Green,0,357500,345200,-3.44%
P001,20/07/2026,Green,1,576000,555900,-3.49%
P002,18/05/2026,Green,0,170500,159400,-6.51%
P002,25/05/2026,Green,3,612000,658400,7.58%
P002,01/06/2026,Green,6,246000,233900,-4.92%
P002,08/06/2026,Green,3,187000,197600,5.67%
P002,15/06/2026,Green,3,336000,366000,8.93%
P002,22/06/2026,Amber,1,408000,419800,2.89%
P002,29/06/2026,Amber,2,336000,343000,2.08%
P002,06/07/2026,Amber,2,408000,441500,8.21%
P002,13/07/2026,Amber,-3,390000,400900,2.79%
P002,20/07/2026,Amber,-3,612000,568100,-7.17%
P003,18/05/2026,Green,-1,175700,165200,-5.98%
P003,25/05/2026,Green,4,648000,720600,11.20%
P003,01/06/2026,Amber,5,266500,252300,-5.33%
P003,08/06/2026,Amber,0,198000,210700,6.41%
P003,15/06/2026,Amber,0,364000,377900,3.82%
P003,22/06/2026,Amber,-1,432000,461800,6.90%
P003,29/06/2026,Red,-2,364000,414800,13.96%
P003,06/07/2026,Red,0,432000,479900,11.09%
P003,13/07/2026,Red,-5,422500,409900,-2.98%
P003,20/07/2026,Red,-7,648000,620300,-4.27%
P004,18/05/2026,Green,0,181000,174100,-3.81%
P004,25/05/2026,Green,-1,684000,747400,9.27%
P004,01/06/2026,Green,1,287000,282000,-1.74%
P004,08/06/2026,Green,3,209000,226500,8.37%
P004,15/06/2026,Green,5,392000,444500,13.39%
P004,22/06/2026,Green,7,456000,490800,7.63%
P004,29/06/2026,Green,7,392000,429700,9.62%
P004,06/07/2026,Green,8,456000,506700,11.12%
P004,13/07/2026,Green,9,455000,437800,-3.78%
P004,20/07/2026,Green,10,684000,678200,-0.85%
P005,18/05/2026,Green,-1,186200,180600,-3.01%
P005,25/05/2026,Green,1,720000,801600,11.33%
P005,01/06/2026,Green,1,307500,294300,-4.29%
P005,08/06/2026,Green,3,220000,250700,13.95%
P005,15/06/2026,Amber,-1,420000,478500,13.93%
P005,22/06/2026,Amber,-4,480000,502900,4.77%
P005,29/06/2026,Amber,-7,420000,477200,13.62%
P005,06/07/2026,Amber,-7,480000,505000,5.21%
P005,13/07/2026,Amber,-7,487500,494800,1.50%
P005,20/07/2026,Amber,-8,720000,729900,1.38%
P006,18/05/2026,Green,1,191400,192100,0.37%
P006,25/05/2026,Green,3,93200,91700,-1.61%
P006,01/06/2026,Green,4,328000,332500,1.37%
P006,08/06/2026,Green,4,224200,214900,-4.15%
P006,15/06/2026,Green,4,448000,487000,8.71%
P006,22/06/2026,Green,6,154300,153900,-0.26%
P006,29/06/2026,Green,7,448000,475700,6.18%
P006,06/07/2026,Green,7,121000,123000,1.65%
P006,13/07/2026,Green,8,520000,578600,11.27%
P006,20/07/2026,Green,7,91700,94000,2.51%
P007,18/05/2026,Green,-1,196700,187000,-4.93%
P007,25/05/2026,Amber,-5,96500,94900,-1.66%
P007,01/06/2026,Amber,-9,348500,339300,-2.64%
P007,08/06/2026,Amber,-9,243300,231100,-5.01%
P007,15/06/2026,Amber,-13,476000,520200,9.29%
P007,22/06/2026,Amber,-17,148500,137800,-7.21%
P007,29/06/2026,Amber,-18,476000,503900,5.86%
P007,06/07/2026,Amber,-18,132000,123200,-6.67%
P007,13/07/2026,Amber,-18,552500,586100,6.08%
P007,20/07/2026,Green,-16,93400,94900,1.61%
P008,18/05/2026,Green,1,201900,191400,-5.20%
P008,25/05/2026,Green,0,99700,106400,6.72%
P008,01/06/2026,Green,-1,369000,371900,0.79%
P008,08/06/2026,Green,-1,262500,248200,-5.45%
P008,15/06/2026,Green,0,504000,527700,4.70%
P008,22/06/2026,Green,0,142800,145900,2.17%
P008,29/06/2026,Amber,0,504000,566000,12.30%
P008,06/07/2026,Amber,-4,143000,159600,11.61%
P008,13/07/2026,Amber,-4,585000,615500,5.21%
P008,20/07/2026,Amber,-8,95100,94000,-1.16%
P009,18/05/2026,Green,1,207200,201300,-2.85%
P009,25/05/2026,Green,3,103000,106000,2.91%
P009,01/06/2026,Green,3,389500,370300,-4.93%
P009,08/06/2026,Green,3,281600,268800,-4.55%
P009,15/06/2026,Green,3,532000,566900,6.56%
P009,22/06/2026,Green,4,137000,132400,-3.36%
P009,29/06/2026,Green,3,532000,568900,6.94%
P009,06/07/2026,Green,4,154000,162800,5.71%
P009,13/07/2026,Green,5,617500,650800,5.39%
P009,20/07/2026,Green,7,96800,95800,-1.03%
P010,18/05/2026,Green,0,212400,218800,3.01%
P010,25/05/2026,Green,2,106200,109600,3.20%
P010,01/06/2026,Amber,-1,410000,402300,-1.88%
P010,08/06/2026,Amber,-2,300800,283100,-5.88%
P010,15/06/2026,Amber,-3,560000,533500,-4.73%
P010,22/06/2026,Amber,-4,131300,130100,-0.91%
P010,29/06/2026,Amber,-6,560000,533000,-4.82%
P010,06/07/2026,Amber,-10,165000,179200,8.61%
P010,13/07/2026,Amber,-12,650000,728300,12.05%
P010,20/07/2026,Green,-10,98500,101400,2.94%
P011,18/05/2026,Green,-1,396000,392600,-0.86%
P011,25/05/2026,Green,0,109500,122900,12.24%
P011,01/06/2026,Green,-1,121000,114500,-5.37%
P011,08/06/2026,Green,1,319900,304000,-4.97%
P011,15/06/2026,Green,0,264000,259400,-1.74%
P011,22/06/2026,Green,2,125500,126900,1.12%
P011,29/06/2026,Amber,-1,264000,256100,-2.99%
P011,06/07/2026,Amber,-1,176000,184300,4.72%
P011,13/07/2026,Amber,-2,396000,385900,-2.55%
P011,20/07/2026,Amber,-5,100200,97000,-3.19%
P012,18/05/2026,Green,2,432000,433300,0.30%
P012,25/05/2026,Green,4,112700,142600,26.53%
P012,01/06/2026,Amber,4,132000,128500,-2.65%
P012,08/06/2026,Amber,1,339100,348500,2.77%
P012,15/06/2026,Amber,-3,288000,284300,-1.28%
P012,22/06/2026,Amber,-7,119800,111000,-7.35%
P012,29/06/2026,Red,-9,288000,273000,-5.21%
P012,06/07/2026,Red,-14,187000,240200,28.45%
P012,13/07/2026,Red,-17,432000,403400,-6.62%
P012,20/07/2026,Red,-22,101900,102300,0.39%
P013,18/05/2026,Green,1,468000,440800,-5.81%
P013,25/05/2026,Green,3,115900,150300,29.68%
P013,01/06/2026,Green,3,143000,142400,-0.42%
